wave (um),depth,Rp/R*
3.03476,0.0293843581156,0.17141866326511826
3.06511,0.0293732709356,0.1713863207365162
3.09576,0.0293710505727,0.1713798429591415
3.12672,0.029367862887,0.17137054264662874
3.15798,0.0293721736199,0.17138311941349416
3.18956,0.02938121591,0.17140949772401762
3.22146,0.0293708717986,0.17137932138563275
3.25367,0.0293512063036,0.1713219376016977
3.28621,0.0293461319867,0.17130712765877548
3.31907,0.0294033861282,0.171474155860876
3.35226,0.0293772835462,0.171398026669504
3.38579,0.0293501298103,0.17131879584651533
3.41964,0.0293526546272,0.17132616445598728
3.45384,0.0293463049664,0.17130763253982584
3.48838,0.0293363570232,0.17127859476069973
3.52326,0.0293200559478,0.17123100171347477
3.55849,0.0293160867844,0.17121941123716083
3.59408,0.0293028432907,0.1711807328255724
3.63002,0.0292987735037,0.17116884501479818
3.66632,0.0292886648048,0.1711393140245689
3.70298,0.0292818921983,0.1711195260579575
3.74001,0.0292757556666,0.17110159457643873
3.77741,0.029273133243,0.17109393105250695
3.81519,0.0292644331841,0.17106850436038773
3.85334,0.029260058751,0.17105571826454677
3.89187,0.0292606131765,0.1710573388560105
3.93079,0.0292583078809,0.17105060035235187
3.9701,0.0292586131807,0.17105149277542128
4.0098,0.0292578985941,0.17104940395716087
4.0499,0.0292608073252,0.17105790635103657
4.0904,0.0292664570684,0.17107441967868836
4.1313,0.0292706256309,0.17108660272183793
4.17261,0.0293069677035,0.1711927793556142
4.21434,0.0294480251231,0.1716042689536015
4.25648,0.0296159586438,0.1720928779578051
4.29905,0.0297307392927,0.1724260400655887
4.34204,0.0297570278402,0.17250225459454147
4.38546,0.0297535753392,0.17249224718577932
4.42931,0.029706184735,0.17235482219827794
4.47361,0.0296270683196,0.17212515307066542
4.51834,0.0295440979543,0.1718839665422578
4.56353,0.02945421747,0.17162231052517618
4.60916,0.0293968238337,0.1714550198556461
4.65525,0.0293790471963,0.1714031714884529
4.70181,0.0293770404589,0.17139731753706067
4.74882,0.0293744807653,0.17138985024003026
4.79631,0.0293799431311,0.1714057849989317
4.84428,0.0293707699957,0.17137902437492167
4.89272,0.0293683836884,0.1713720621583343
4.94165,0.0293585588659,0.17134339457913164
4.99106,0.0293549243594,0.17133278833720064
5.04097,0.029356546627,0.17133752253082218
5.09138,0.0293508289538,0.17132083630953943
5.1423,0.0293611864556,0.17135106202063646
5.19372,0.0293509772651,0.1713212691556422
5.24566,0.0293513659891,0.17132240364032955
5.29811,0.0293654848767,0.17136360429420244
5.35109,0.0293547346151,0.17133223460604252
5.40461,0.0293858378589,0.17142297937820355
5.45865,0.0293665431977,0.1713666922062161
5.51324,0.0293720180865,0.17138266565350185
5.56837,0.0293898265859,0.17143461315002873
5.62405,0.0293822187669,0.1714124230238287
5.68029,0.0293694394454,0.1713751424372858
