wave (um),depth,Rp/R*
8.2599,0.022494,0.14997999866648887
8.3425,0.022518,0.1500599880047976
8.42593,0.022474,0.14991330828182
8.51019,0.02247,0.1498999666444259
8.59529,0.022464,0.14987995196156156
8.68124,0.022442,0.14980654191322887
8.76805,0.022455,0.14984992492490612
8.85573,0.022416,0.1497197381777032
8.94429,0.02242,0.14973309587395833
9.03373,0.022397,0.1496562728387955
9.12407,0.022384,0.14961283367412034
9.21531,0.022376,0.14958609561052125
9.30747,0.022372,0.14957272478630587
9.40054,0.022377,0.14958943812983588
9.49455,0.022347,0.1494891300396119
9.58949,0.022341,0.14946906034360422
9.68539,0.022345,0.14948244044034067
9.78224,0.022318,0.14939210153150667
9.88006,0.022359,0.1495292613504126
9.97886,0.022321,0.14940214188558343
10.07865,0.02233,0.1494322589001451
10.17944,0.0223,0.1493318452306808
10.28123,0.022331,0.1494356048604214
10.38405,0.022359,0.1495292613504126
10.48789,0.022322,0.14940548852033517
10.59276,0.022349,0.14949581933953873
10.69869,0.022306,0.1493519333654573
10.80568,0.022315,0.1493820605025918
10.91374,0.022339,0.14946236984605857
11.02287,0.022394,0.14964624953536257
11.1331,0.022337,0.1494556790490077
11.24443,0.022344,0.14947909552843835
11.35688,0.022346,0.14948578527739687
11.47045,0.022328,0.1494255667548228
11.58515,0.022378,0.14959278057446487
11.701,0.022396,0.14965293181224348
11.81801,0.02238,0.14959946523968592
11.93619,0.022367,0.1495560095750084
12.05555,0.022382,0.1496061496062244
